#{"t_start": 1773996561.3319218, "env_id": "highway-fast-v0"}
r,l,t
3.555556,40,0.620215
2.844444,40,0.797904
2.866667,40,0.974413
2.234006,40,1.155518
4.555556,40,1.332859
0.0,40,1.508024
0.0,40,1.692945
12.285494,40,1.868326
0.711111,40,2.044648
1.567295,40,2.223615
4.222222,40,2.404391
0.733333,40,2.582852
3.086286,40,2.793594
0.688889,40,2.986539
1.333333,40,3.187322
1.377778,40,3.366692
3.511111,40,3.563529
11.558507,40,3.743607
0.0,40,3.920706
7.755556,40,4.099272
3.021663,40,4.2766
4.404433,40,4.456355
0.711111,40,4.635309
0.733333,40,4.811364
4.288889,40,4.987415
6.444294,40,5.163357
4.222222,40,5.341424
9.2,40,5.517441
2.088889,40,5.691869
1.466667,40,5.866913
0.666667,40,6.043137
18.016486,40,6.2209
2.169942,40,6.401016
2.066667,40,6.578421
3.8,40,6.75745
2.044444,40,6.933851
5.046356,40,7.108839
1.355556,40,7.281893
2.141694,40,7.459453
4.2,40,7.635941
1.4,40,7.811086
2.8,40,7.98563
7.288889,40,8.163122
2.147871,40,8.340559
0.688889,40,8.517859
0.0,40,8.696461
6.768442,40,8.877599
0.733333,40,9.057236
0.0,40,9.243851
5.706015,40,9.425253
2.066667,40,9.603608
8.351224,40,10.097427
1.422222,40,10.27812
6.675135,40,10.455491
2.462366,40,10.631543
4.822222,40,10.815602
2.822222,40,10.993858
3.656321,40,11.174154
0.711111,40,11.353203
0.831464,40,11.535058
2.807023,40,11.71605
0.0,40,11.895526
0.666667,40,12.073036
16.777778,40,12.251846
2.088889,40,12.432305
2.878611,40,12.612467
0.977778,40,12.790642
9.25537,40,12.969741
9.509548,40,13.1477
2.022222,40,13.326235
2.907179,40,13.501933
3.040148,40,13.67922
5.739905,40,13.856735
0.0,40,14.036063
0.0,40,14.217667
0.711111,40,14.395965
1.135017,4,14.417173
0.0,40,14.596132
3.511111,40,14.776938
4.854369,40,14.956306
0.898363,40,15.134561
5.0,40,15.311656
2.177778,40,15.489002
0.733333,40,15.665625
0.711111,40,15.842194
5.711111,40,16.023784
4.418966,40,16.202256
0.0,40,16.383116
0.733333,40,16.56147
5.863565,40,16.741824
2.066667,40,16.917501
0.0,40,17.097057
0.688889,40,17.275619
0.699314,40,17.508235
5.282259,40,17.688201
2.822222,40,17.874538
5.605126,40,18.053641
2.342566,40,18.234387
6.911111,40,18.417
5.088889,40,18.59551
0.940266,40,18.774423
6.022222,40,18.952604
4.4,40,19.132325
0.733333,40,19.518238
3.190674,40,19.698374
3.441262,40,19.87729
8.022222,40,20.04913
1.355556,40,20.225656
7.711111,40,20.408431
0.688889,40,20.587795
0.0,40,20.766735
6.244444,40,20.946988
4.417653,40,21.12529
0.0,40,21.303052
