#{"t_start": 1773999538.7571719, "env_id": "highway-fast-v0"}
r,l,t
1.466667,40,50.199246
0.0,40,50.379085
1.711111,40,50.558577
0.0,40,50.738159
0.0,40,50.915581
3.236852,40,51.094005
0.0,40,51.27164
6.519006,40,51.456592
6.355556,40,51.639195
2.759765,40,51.82063
0.733333,40,52.003407
4.2,40,52.182723
5.577778,40,52.361027
2.98779,40,52.541445
2.949721,40,52.722133
1.603158,40,52.902781
9.287598,40,53.083481
0.0,40,53.26457
4.392789,40,53.447266
0.666667,40,53.625896
0.0,40,53.806113
5.6,40,53.986233
0.688889,40,54.165953
0.0,40,54.344429
3.068836,40,54.5239
2.088889,40,54.702851
1.4,40,54.885927
3.844444,40,55.064964
4.282488,40,55.247871
8.540872,40,55.429244
1.444444,40,55.60964
0.0,40,55.790079
0.786949,40,55.970314
1.444444,40,56.153176
0.666667,40,56.331474
4.207908,40,56.510364
9.435371,40,56.691671
4.844444,40,56.876404
10.424973,40,57.059469
2.128145,40,57.240862
4.2,40,57.419907
0.870424,40,57.816877
3.705833,40,58.001982
0.0,40,58.184309
0.688889,40,58.366105
6.955556,40,58.550661
1.560728,40,58.729313
0.0,40,58.91127
2.12257,40,59.094614
2.232446,40,59.277135
0.0,40,59.456996
2.155556,40,59.634681
2.133333,40,59.810489
7.652923,40,59.992032
3.555556,40,60.170328
1.688889,40,60.353202
0.711111,40,60.530648
1.333333,40,60.711627
5.6,40,60.896577
0.925748,40,61.076914
1.355556,40,61.256257
0.733333,40,61.438868
2.819331,40,61.618217
4.888889,40,61.796497
2.133333,40,61.97746
1.448055,40,62.153043
0.0,40,62.338198
10.045486,40,62.518858
0.666667,40,62.699308
3.422222,40,62.877548
1.626805,40,63.06116
3.540009,40,63.245139
3.4,40,63.428569
1.466667,40,63.615793
8.422222,40,63.796894
7.154778,40,63.97931
0.711111,40,64.160743
0.0,40,64.340081
1.377778,40,64.51659
1.476685,40,64.697204
4.956344,40,64.876417
1.467064,40,65.053631
